,Sample ID,Sample_type,AF_level_ppb,AF_level_logppb,Mass_AF,Count_type,
233,NRB_8,Calculated Bulk,69.51127447,1.837240663,,Kenya,
234,NRB_9,Calculated Bulk,3.011853957,0.482201906,,Kenya,
235,NRB_10,Calculated Bulk,1.10611734,0.050661413,,Kenya,
236,NRB_11,Calculated Bulk,1.206157852,0.087842214,,Kenya,
237,NRB_12,Calculated Bulk,1.112869879,0.053258233,,Kenya,
238,NRB_13,Calculated Bulk,1.414337381,0.151530683,,Kenya,
239,NRB_14,Calculated Bulk,1.098564231,0.047731079,,Kenya,
240,NRB_15,Calculated Bulk,1.096478196,0.046574669,,Kenya,
241,NRB_16,Calculated Bulk,1.10451911,0.050025789,,Kenya,
242,NRB_17,Calculated Bulk,1.096478196,0.046170155,,Kenya,
243,NRB_18,Calculated Bulk,10.31374389,1.017727269,,Kenya,
244,NRB_19,Calculated Bulk,1.107296999,0.0512632,,Kenya,
245,NRB_20,Calculated Bulk,1.823088435,0.263050597,,Kenya,
246,NRB_21,Calculated Bulk,1.097980873,0.047254413,,Kenya,
247,NRB_22,Calculated Bulk,1.096478196,0.047141174,,Kenya,
248,NRB_23,Calculated Bulk,1.096478196,0.046668721,,Kenya,
249,NRB_24,Calculated Bulk,1.096478196,0.047066047,,Kenya,
250,NRB_25,Calculated Bulk,1.519735975,0.182113644,,Kenya,
251,NRB_26,Calculated Bulk,1.521791701,0.182713556,,Kenya,
252,NRB_27,Calculated Bulk,1.120489971,0.049031163,,Kenya,
253,NRB_28,Calculated Bulk,1.096478196,0.04665488,,Kenya,
254,NRB_29,Calculated Bulk,1.768873021,0.247213452,,Kenya,
255,NRB_30,Calculated Bulk,3.492300465,0.54280336,,Kenya,
256,NRB_31,Calculated Bulk,1.60135748,0.202561709,,Kenya,
257,NRB_32,Calculated Bulk,1.305671037,0.11890735,,Kenya,
258,NRB_33,Calculated Bulk,1.096478196,0.046831032,,Kenya,
259,NRB_34,Calculated Bulk,1.100188325,0.048550006,,Kenya,
260,NRB_35,Calculated Bulk,1.096478196,0.046906581,,Kenya,
261,NRB_36,Calculated Bulk,1.096478196,0.04679159,,Kenya,
262,NRB_37,Calculated Bulk,1.101524046,0.049014619,,Kenya,
263,NRB_38,Calculated Bulk,1.096478196,0.046662957,,Kenya,
264,NRB_39,Calculated Bulk,1.096478196,-0.037174891,,Kenya,
265,NRB_40,Calculated Bulk,1.105180725,-0.035441967,,Kenya,
266,NRB_41,Calculated Bulk,1.660485239,0.217304869,,Kenya,
267,NRB_42,Calculated Bulk,1.096478196,0.046629902,,Kenya,
268,NRB_43,Calculated Bulk,1.096478196,0.046588893,,Kenya,
269,NRB_44,Calculated Bulk,1.546802013,0.184908198,,Kenya,
270,NRB_45,Calculated Bulk,1.096478196,0.046841269,,Kenya,
